=== events -A (recent) ===
NAMESPACE   LAST SEEN   TYPE      REASON                    OBJECT                                                        MESSAGE
rook-ceph   54m         Normal    Created                   pod/rook-ceph-mon-b-5f549448c-tnjqm                           Container created
rook-ceph   54m         Normal    Pulled                    pod/rook-ceph-mon-b-5f549448c-tnjqm                           Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   54m         Normal    Pulled                    pod/rook-ceph-mon-b-5f549448c-tnjqm                           Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   54m         Normal    Created                   pod/rook-ceph-mon-b-5f549448c-tnjqm                           Container created
rook-ceph   54m         Normal    SuccessfulCreate          replicaset/rook-ceph-mon-c-6c65994559                         Created pod: rook-ceph-mon-c-6c65994559-7dphq
rook-ceph   54m         Normal    ScalingReplicaSet         deployment/rook-ceph-mon-c                                    Scaled up replica set rook-ceph-mon-c-6c65994559 from 0 to 1
rook-ceph   54m         Normal    Scheduled                 pod/rook-ceph-mon-c-6c65994559-7dphq                          Successfully assigned rook-ceph/rook-ceph-mon-c-6c65994559-7dphq to hks-worker-1
rook-ceph   54m         Normal    Created                   pod/rook-ceph-mon-c-6c65994559-7dphq                          Container created
rook-ceph   54m         Normal    Pulled                    pod/rook-ceph-mon-c-6c65994559-7dphq                          Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   54m         Normal    Started                   pod/rook-ceph-mon-c-6c65994559-7dphq                          Container started
rook-ceph   54m         Normal    Started                   pod/rook-ceph-mon-c-6c65994559-7dphq                          Container started
rook-ceph   54m         Normal    Pulled                    pod/rook-ceph-mon-c-6c65994559-7dphq                          Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   54m         Normal    Created                   pod/rook-ceph-mon-c-6c65994559-7dphq                          Container created
rook-ceph   54m         Normal    Started                   pod/rook-ceph-mon-c-6c65994559-7dphq                          Container started
rook-ceph   54m         Normal    Pulled                    pod/rook-ceph-mon-c-6c65994559-7dphq                          Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   54m         Normal    Created                   pod/rook-ceph-mon-c-6c65994559-7dphq                          Container created
rook-ceph   54m         Normal    Started                   pod/rook-ceph-mon-c-6c65994559-7dphq                          Container started
rook-ceph   54m         Normal    Created                   pod/rook-ceph-mon-c-6c65994559-7dphq                          Container created
rook-ceph   54m         Normal    Pulled                    pod/rook-ceph-mon-c-6c65994559-7dphq                          Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   54m         Normal    Scheduled                 pod/rook-ceph-mgr-b-ccc554489-sdsr6                           Successfully assigned rook-ceph/rook-ceph-mgr-b-ccc554489-sdsr6 to hks-worker-3
rook-ceph   54m         Normal    Scheduled                 pod/rook-ceph-crashcollector-hks-worker-2-559dd7dcc4-m4dxf    Successfully assigned rook-ceph/rook-ceph-crashcollector-hks-worker-2-559dd7dcc4-m4dxf to hks-worker-2
rook-ceph   54m         Normal    ScalingReplicaSet         deployment/rook-ceph-mgr-b                                    Scaled up replica set rook-ceph-mgr-b-ccc554489 from 0 to 1
rook-ceph   54m         Normal    SuccessfulCreate          replicaset/rook-ceph-mgr-b-ccc554489                          Created pod: rook-ceph-mgr-b-ccc554489-sdsr6
rook-ceph   54m         Normal    Scheduled                 pod/rook-ceph-exporter-hks-worker-2-7b79688968-v7686          Successfully assigned rook-ceph/rook-ceph-exporter-hks-worker-2-7b79688968-v7686 to hks-worker-2
rook-ceph   54m         Normal    SuccessfulCreate          replicaset/rook-ceph-exporter-hks-worker-2-7b79688968         Created pod: rook-ceph-exporter-hks-worker-2-7b79688968-v7686
