=== events -A (recent) ===
NAMESPACE   LAST SEEN   TYPE      REASON                    OBJECT                                                        MESSAGE
rook-ceph   53m         Normal    Created                   pod/rook-ceph-osd-prepare-hks-worker-3-vkbkp                  Container created
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-osd-prepare-hks-worker-3-vkbkp                  Container image "docker.io/rook/ceph:v1.19.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Started                   pod/rook-ceph-osd-prepare-hks-worker-3-vkbkp                  Container started
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-osd-prepare-hks-worker-3-vkbkp                  Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-osd-prepare-hks-worker-2-k5g2p                  Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Started                   pod/rook-ceph-osd-prepare-hks-worker-2-k5g2p                  Container started
rook-ceph   53m         Normal    Created                   pod/rook-ceph-osd-prepare-hks-worker-2-k5g2p                  Container created
rook-ceph   53m         Normal    Started                   pod/rook-ceph-osd-prepare-hks-worker-3-vkbkp                  Container started
rook-ceph   53m         Normal    SuccessfulCreate          replicaset/rook-ceph-osd-0-8467854678                         Created pod: rook-ceph-osd-0-8467854678-f8mvg
rook-ceph   53m         Normal    Scheduled                 pod/rook-ceph-osd-0-8467854678-f8mvg                          Successfully assigned rook-ceph/rook-ceph-osd-0-8467854678-f8mvg to hks-worker-1
rook-ceph   53m         Normal    ScalingReplicaSet         deployment/rook-ceph-osd-0                                    Scaled up replica set rook-ceph-osd-0-8467854678 from 0 to 1
rook-ceph   53m         Normal    Started                   pod/rook-ceph-osd-0-8467854678-f8mvg                          Container started
rook-ceph   53m         Normal    Created                   pod/rook-ceph-osd-0-8467854678-f8mvg                          Container created
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-osd-0-8467854678-f8mvg                          Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Scheduled                 pod/rook-ceph-osd-1-554c6d5cf9-lh42d                          Successfully assigned rook-ceph/rook-ceph-osd-1-554c6d5cf9-lh42d to hks-worker-2
rook-ceph   53m         Normal    SuccessfulCreate          replicaset/rook-ceph-crashcollector-hks-worker-2-647549664d   Created pod: rook-ceph-crashcollector-hks-worker-2-647549664d-777hx
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-osd-0-8467854678-f8mvg                          Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Created                   pod/rook-ceph-osd-0-8467854678-f8mvg                          Container created
rook-ceph   53m         Normal    SuccessfulCreate          replicaset/rook-ceph-osd-1-554c6d5cf9                         Created pod: rook-ceph-osd-1-554c6d5cf9-lh42d
rook-ceph   53m         Normal    Scheduled                 pod/rook-ceph-crashcollector-hks-worker-2-647549664d-777hx    Successfully assigned rook-ceph/rook-ceph-crashcollector-hks-worker-2-647549664d-777hx to hks-worker-2
rook-ceph   53m         Normal    ScalingReplicaSet         deployment/rook-ceph-crashcollector-hks-worker-2              Scaled up replica set rook-ceph-crashcollector-hks-worker-2-647549664d from 0 to 1
rook-ceph   53m         Normal    Started                   pod/rook-ceph-osd-0-8467854678-f8mvg                          Container started
rook-ceph   53m         Normal    ScalingReplicaSet         deployment/rook-ceph-exporter-hks-worker-2                    Scaled down replica set rook-ceph-exporter-hks-worker-2-7b79688968 from 1 to 0
rook-ceph   53m         Normal    SuccessfulDelete          replicaset/rook-ceph-exporter-hks-worker-2-7b79688968         Deleted pod: rook-ceph-exporter-hks-worker-2-7b79688968-v7686
rook-ceph   53m         Normal    Killing                   pod/rook-ceph-exporter-hks-worker-2-7b79688968-v7686          Stopping container log-collector
rook-ceph   53m         Normal    Killing                   pod/rook-ceph-exporter-hks-worker-2-7b79688968-v7686          Stopping container ceph-exporter
rook-ceph   53m         Normal    Completed                 job/rook-ceph-osd-prepare-hks-worker-1                        Job completed
rook-ceph   53m         Normal    ScalingReplicaSet         deployment/rook-ceph-osd-1                                    Scaled up replica set rook-ceph-osd-1-554c6d5cf9 from 0 to 1
rook-ceph   53m         Normal    ScalingReplicaSet         deployment/rook-ceph-crashcollector-hks-worker-3              Scaled up replica set rook-ceph-crashcollector-hks-worker-3-74df44bc8f from 0 to 1
rook-ceph   53m         Normal    Killing                   pod/rook-ceph-exporter-hks-worker-3-d8f58dfdc-9sb6l           Stopping container log-collector
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-crashcollector-hks-worker-2-647549664d-777hx    Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Created                   pod/rook-ceph-osd-1-554c6d5cf9-lh42d                          Container created
rook-ceph   53m         Normal    ScalingReplicaSet         deployment/rook-ceph-exporter-hks-worker-3                    Scaled down replica set rook-ceph-exporter-hks-worker-3-d8f58dfdc from 1 to 0
rook-ceph   53m         Normal    SuccessfulDelete          replicaset/rook-ceph-exporter-hks-worker-3-d8f58dfdc          Deleted pod: rook-ceph-exporter-hks-worker-3-d8f58dfdc-9sb6l
rook-ceph   53m         Normal    Started                   pod/rook-ceph-osd-1-554c6d5cf9-lh42d                          Container started
rook-ceph   53m         Normal    Scheduled                 pod/rook-ceph-exporter-hks-worker-2-59c8d57778-ss65m          Successfully assigned rook-ceph/rook-ceph-exporter-hks-worker-2-59c8d57778-ss65m to hks-worker-2
rook-ceph   53m         Normal    Scheduled                 pod/rook-ceph-osd-2-69bc4d9db-tch8w                           Successfully assigned rook-ceph/rook-ceph-osd-2-69bc4d9db-tch8w to hks-worker-3
rook-ceph   53m         Normal    ScalingReplicaSet         deployment/rook-ceph-osd-2                                    Scaled up replica set rook-ceph-osd-2-69bc4d9db from 0 to 1
rook-ceph   53m         Normal    Killing                   pod/rook-ceph-exporter-hks-worker-3-d8f58dfdc-9sb6l           Stopping container ceph-exporter
rook-ceph   53m         Normal    ScalingReplicaSet         deployment/rook-ceph-exporter-hks-worker-2                    Scaled up replica set rook-ceph-exporter-hks-worker-2-59c8d57778 from 0 to 1
rook-ceph   53m         Normal    SuccessfulCreate          replicaset/rook-ceph-exporter-hks-worker-2-59c8d57778         Created pod: rook-ceph-exporter-hks-worker-2-59c8d57778-ss65m
rook-ceph   53m         Normal    Scheduled                 pod/rook-ceph-crashcollector-hks-worker-3-74df44bc8f-xxbmh    Successfully assigned rook-ceph/rook-ceph-crashcollector-hks-worker-3-74df44bc8f-xxbmh to hks-worker-3
rook-ceph   53m         Normal    Created                   pod/rook-ceph-crashcollector-hks-worker-2-647549664d-777hx    Container created
rook-ceph   53m         Normal    SuccessfulCreate          replicaset/rook-ceph-crashcollector-hks-worker-3-74df44bc8f   Created pod: rook-ceph-crashcollector-hks-worker-3-74df44bc8f-xxbmh
rook-ceph   53m         Normal    SuccessfulCreate          replicaset/rook-ceph-osd-2-69bc4d9db                          Created pod: rook-ceph-osd-2-69bc4d9db-tch8w
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-osd-1-554c6d5cf9-lh42d                          Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-exporter-hks-worker-2-59c8d57778-ss65m          Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Created                   pod/rook-ceph-exporter-hks-worker-2-59c8d57778-ss65m          Container created
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-exporter-hks-worker-2-59c8d57778-ss65m          Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Started                   pod/rook-ceph-exporter-hks-worker-2-59c8d57778-ss65m          Container started
rook-ceph   53m         Normal    Created                   pod/rook-ceph-exporter-hks-worker-2-59c8d57778-ss65m          Container created
rook-ceph   53m         Normal    Started                   pod/rook-ceph-exporter-hks-worker-2-59c8d57778-ss65m          Container started
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-osd-0-8467854678-f8mvg                          Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Created                   pod/rook-ceph-osd-0-8467854678-f8mvg                          Container created
rook-ceph   53m         Normal    Started                   pod/rook-ceph-osd-0-8467854678-f8mvg                          Container started
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-exporter-hks-worker-2-59c8d57778-ss65m          Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-osd-2-69bc4d9db-tch8w                           Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Started                   pod/rook-ceph-crashcollector-hks-worker-2-647549664d-777hx    Container started
rook-ceph   53m         Normal    Created                   pod/rook-ceph-crashcollector-hks-worker-2-647549664d-777hx    Container created
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-crashcollector-hks-worker-2-647549664d-777hx    Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Started                   pod/rook-ceph-crashcollector-hks-worker-2-647549664d-777hx    Container started
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-osd-0-8467854678-f8mvg                          Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-crashcollector-hks-worker-2-647549664d-777hx    Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Started                   pod/rook-ceph-exporter-hks-worker-2-59c8d57778-ss65m          Container started
rook-ceph   53m         Normal    Created                   pod/rook-ceph-exporter-hks-worker-2-59c8d57778-ss65m          Container created
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-crashcollector-hks-worker-3-74df44bc8f-xxbmh    Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    ScalingReplicaSet         deployment/rook-ceph-exporter-hks-worker-3                    Scaled up replica set rook-ceph-exporter-hks-worker-3-69d98cf477 from 0 to 1
rook-ceph   53m         Normal    Created                   pod/rook-ceph-crashcollector-hks-worker-3-74df44bc8f-xxbmh    Container created
rook-ceph   53m         Normal    Started                   pod/rook-ceph-crashcollector-hks-worker-3-74df44bc8f-xxbmh    Container started
rook-ceph   53m         Normal    Scheduled                 pod/rook-ceph-exporter-hks-worker-3-69d98cf477-7pjxc          Successfully assigned rook-ceph/rook-ceph-exporter-hks-worker-3-69d98cf477-7pjxc to hks-worker-3
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-osd-1-554c6d5cf9-lh42d                          Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Created                   pod/rook-ceph-osd-1-554c6d5cf9-lh42d                          Container created
rook-ceph   53m         Normal    Started                   pod/rook-ceph-osd-1-554c6d5cf9-lh42d                          Container started
rook-ceph   53m         Normal    Started                   pod/rook-ceph-crashcollector-hks-worker-2-647549664d-777hx    Container started
rook-ceph   53m         Normal    Completed                 job/rook-ceph-osd-prepare-hks-worker-2                        Job completed
rook-ceph   53m         Normal    SuccessfulCreate          replicaset/rook-ceph-exporter-hks-worker-3-69d98cf477         Created pod: rook-ceph-exporter-hks-worker-3-69d98cf477-7pjxc
rook-ceph   53m         Normal    Started                   pod/rook-ceph-osd-2-69bc4d9db-tch8w                           Container started
rook-ceph   53m         Normal    Created                   pod/rook-ceph-osd-2-69bc4d9db-tch8w                           Container created
rook-ceph   53m         Normal    Created                   pod/rook-ceph-osd-0-8467854678-f8mvg                          Container created
rook-ceph   53m         Normal    Started                   pod/rook-ceph-osd-0-8467854678-f8mvg                          Container started
rook-ceph   53m         Normal    Created                   pod/rook-ceph-crashcollector-hks-worker-2-647549664d-777hx    Container created
rook-ceph   53m         Normal    Created                   pod/rook-ceph-exporter-hks-worker-3-69d98cf477-7pjxc          Container created
rook-ceph   53m         Normal    Killing                   pod/rook-ceph-crashcollector-hks-worker-2-559dd7dcc4-m4dxf    Stopping container ceph-crash
rook-ceph   53m         Normal    Completed                 job/rook-ceph-osd-prepare-hks-worker-3                        Job completed
rook-ceph   53m         Normal    Created                   pod/rook-ceph-osd-0-8467854678-f8mvg                          Container created
rook-ceph   53m         Normal    ScalingReplicaSet         deployment/rook-ceph-crashcollector-hks-worker-2              Scaled down replica set rook-ceph-crashcollector-hks-worker-2-559dd7dcc4 from 1 to 0
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-osd-0-8467854678-f8mvg                          Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    SuccessfulDelete          replicaset/rook-ceph-crashcollector-hks-worker-2-559dd7dcc4   Deleted pod: rook-ceph-crashcollector-hks-worker-2-559dd7dcc4-m4dxf
rook-ceph   53m         Normal    Started                   pod/rook-ceph-osd-0-8467854678-f8mvg                          Container started
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-osd-0-8467854678-f8mvg                          Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Started                   pod/rook-ceph-osd-0-8467854678-f8mvg                          Container started
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-crashcollector-hks-worker-3-74df44bc8f-xxbmh    Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Created                   pod/rook-ceph-crashcollector-hks-worker-3-74df44bc8f-xxbmh    Container created
rook-ceph   53m         Normal    Started                   pod/rook-ceph-crashcollector-hks-worker-3-74df44bc8f-xxbmh    Container started
rook-ceph   53m         Normal    Created                   pod/rook-ceph-osd-0-8467854678-f8mvg                          Container created
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-exporter-hks-worker-3-69d98cf477-7pjxc          Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Started                   pod/rook-ceph-exporter-hks-worker-3-69d98cf477-7pjxc          Container started
rook-ceph   53m         Normal    Created                   pod/rook-ceph-exporter-hks-worker-3-69d98cf477-7pjxc          Container created
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-crashcollector-hks-worker-3-74df44bc8f-xxbmh    Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Created                   pod/rook-ceph-osd-1-554c6d5cf9-lh42d                          Container created
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-exporter-hks-worker-3-69d98cf477-7pjxc          Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-exporter-hks-worker-3-69d98cf477-7pjxc          Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Created                   pod/rook-ceph-exporter-hks-worker-3-69d98cf477-7pjxc          Container created
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-osd-1-554c6d5cf9-lh42d                          Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Started                   pod/rook-ceph-exporter-hks-worker-3-69d98cf477-7pjxc          Container started
rook-ceph   53m         Normal    Started                   pod/rook-ceph-osd-1-554c6d5cf9-lh42d                          Container started
rook-ceph   53m         Normal    Started                   pod/rook-ceph-crashcollector-hks-worker-3-74df44bc8f-xxbmh    Container started
rook-ceph   53m         Normal    Created                   pod/rook-ceph-crashcollector-hks-worker-3-74df44bc8f-xxbmh    Container created
rook-ceph   53m         Normal    Started                   pod/rook-ceph-exporter-hks-worker-3-69d98cf477-7pjxc          Container started
rook-ceph   53m         Normal    Started                   pod/rook-ceph-osd-2-69bc4d9db-tch8w                           Container started
rook-ceph   53m         Normal    Created                   pod/rook-ceph-osd-2-69bc4d9db-tch8w                           Container created
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-osd-2-69bc4d9db-tch8w                           Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-osd-1-554c6d5cf9-lh42d                          Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Created                   pod/rook-ceph-osd-1-554c6d5cf9-lh42d                          Container created
rook-ceph   53m         Normal    SuccessfulDelete          replicaset/rook-ceph-crashcollector-hks-worker-3-86749766cf   Deleted pod: rook-ceph-crashcollector-hks-worker-3-86749766cf-dkxb5
rook-ceph   53m         Normal    Killing                   pod/rook-ceph-crashcollector-hks-worker-3-86749766cf-dkxb5    Stopping container ceph-crash
rook-ceph   53m         Normal    Started                   pod/rook-ceph-osd-1-554c6d5cf9-lh42d                          Container started
rook-ceph   53m         Normal    ScalingReplicaSet         deployment/rook-ceph-crashcollector-hks-worker-3              Scaled down replica set rook-ceph-crashcollector-hks-worker-3-86749766cf from 1 to 0
rook-ceph   53m         Normal    Created                   pod/rook-ceph-osd-1-554c6d5cf9-lh42d                          Container created
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-osd-1-554c6d5cf9-lh42d                          Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Started                   pod/rook-ceph-osd-1-554c6d5cf9-lh42d                          Container started
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-osd-1-554c6d5cf9-lh42d                          Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Created                   pod/rook-ceph-osd-1-554c6d5cf9-lh42d                          Container created
rook-ceph   53m         Normal    Started                   pod/rook-ceph-osd-1-554c6d5cf9-lh42d                          Container started
rook-ceph   53m         Normal    Started                   pod/rook-ceph-osd-2-69bc4d9db-tch8w                           Container started
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-osd-2-69bc4d9db-tch8w                           Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Created                   pod/rook-ceph-osd-2-69bc4d9db-tch8w                           Container created
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-osd-2-69bc4d9db-tch8w                           Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Created                   pod/rook-ceph-osd-2-69bc4d9db-tch8w                           Container created
rook-ceph   53m         Normal    Started                   pod/rook-ceph-osd-2-69bc4d9db-tch8w                           Container started
rook-ceph   53m         Normal    Started                   pod/rook-ceph-osd-2-69bc4d9db-tch8w                           Container started
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-osd-2-69bc4d9db-tch8w                           Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Created                   pod/rook-ceph-osd-2-69bc4d9db-tch8w                           Container created
rook-ceph   53m         Normal    Started                   pod/rook-ceph-osd-2-69bc4d9db-tch8w                           Container started
rook-ceph   53m         Normal    Pulled                    pod/rook-ceph-osd-2-69bc4d9db-tch8w                           Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   53m         Normal    Created                   pod/rook-ceph-osd-2-69bc4d9db-tch8w                           Container created
